variable,lasso_importance,n_lasso_importance,xgb_importance,n_xgb_importance,nice_name,a_n_importance
mcy_a_m,0.361656378014497,2.57526808809508,8.28522125660606,2.97791977898041,McyA M,2.77659393353774
mcy_a_p,0.00352500187492129,-0.593795082591678,0,-0.962527239394978,McyA P,-0.778161160993328
mcy_a_a,0,-0.624987416921137,0,-0.962527239394978,McyA A,-0.793757328158057
doc_ppm,0.0502685560745386,-0.180166772004128,3.63053011574213,0.764151038302385,DOC (ppm),0.291992133149129
tkp_mg_p_l,0.00390132905822542,-0.590465006825648,2.56201154707691,0.255964150158815,TKP (mg/l),-0.167250428333417
tkn_mg_n_l,0.236493422865353,1.46771555870462,4.93294382858303,1.38357833813016,TKN (mg/l),1.42564694841739
cl_mg_cl_l,0,-0.624987416921137,1.35917640568782,-0.316103631700923,CL,-0.47054552431103
p_h,0.289735363817517,1.93884734287319,3.51987730116991,0.711524615935174,pH,1.32518597940418
mcya_16s,0.114484381709698,0.388071649854545,5.78983749537957,1.79111653051107,McyA M:16s,1.08959409018281
ortho_p_mg_p_l,0.0332709417756873,-0.330576697112266,2.63725219811059,0.291748565546621,OrthoP (mg/l),-0.0194140657828228
avg_temp,0,-0.624987416921137,2.03466111630634,0.0051565533294565,Avg. Weekly Temperature,-0.30991543179584
avg_humid,0.00178697332632466,-0.609174696414772,0.829922859227043,-0.567816349385215,Avg. Humidity,-0.588495522899993
avg_dew,0.0347349637151989,-0.317621736115564,3.35848069594665,0.634764472526717,Avg. Dew Point Temperature,0.158571368205576
avg_wind,0,-0.624987416921137,0.94822894196173,-0.511550036569987,Avg. Wind speed,-0.568268726745562
avg_gust,0.010363605211588,-0.53328107176477,1.05084284207939,-0.462746917831295,Avg. Gust Speed,-0.498013994798032
precip,0.0123237514188435,-0.515935964442607,0.855959295905854,-0.555433433334743,Avg. Weekly Precipitation,-0.535684698888675
open_water,0.017767143024786,-0.467768021024841,0.996355825897939,-0.488660915032174,% Open Water,-0.478214468028507
barren_land,0.0416086522841899,-0.256797260121396,0,-0.962527239394978,% Barren Land,-0.609662249758187
shrub_scrub,0.0271668469569806,-0.384591126925319,0.202379921816236,-0.866275451446166,% Shrubber/Scrubland,-0.625433289185743
herbaceuous,0.00171350110581476,-0.609824843605438,0.166460401157915,-0.883358757213855,% Herbaceuous Land,-0.746591800409646
hay_pasture,0.317094794169746,2.1809477810834,3.03587151999845,0.481331712423652,% Hay/Pasture,1.33113974675353
cultivated_crops,0.0107145946156442,-0.530175207079899,0.35344219795763,-0.794430309696241,% Cultivated Crops,-0.66230275838807
wetlands_sum,0,-0.624987416921137,0.375253866897021,-0.784056691035244,% Wetlands,-0.704522053978191
developed_sum,0.197113544741098,1.11924756694432,3.40646389587376,0.657585258022835,% Developed,0.88841641248358
forest_sum,0,-0.624987416921137,0.264298930399579,-0.836826802436527,% Forested,-0.730907109678832
