vars_removed,roc_auc,accuracy,sens,spec
nc,0.949415353329944,0.861016949152542,0.864768683274021,0.785714285714286
nl,0.913065582104728,0.83728813559322,0.839857651245552,0.785714285714286
nlc,0.919166243009659,0.864406779661017,0.871886120996441,0.714285714285714
