week,collected_date,environmental_location,microcystin,x16s,mcy_a_m,mcy_a_p,mcy_a_a,doc_ppm,tkp_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,mcya_16s,category_d,category_d_ahead,ortho_p_mg_p_l,month(collected_date)
1,2018-05-22,Backbone Beach,0.63,147000,0,0,0,5.848,1.609,0.66,18.76,8.1,0,1,1,0.0105,5
5,2018-06-19,Backbone Beach,0.46,423,0,0,0,1.45,1.056,0.517,19.203,8.8,0,1,1,0.0776666666666667,6
14,2018-08-21,Backbone Beach,0.438,40400000,0,0,0,2.151,1.064,0.169,16.674,8.9,0,1,1,0.02425,8
8,2018-07-10,Backbone Beach,0.425,10800000,1240,0,0,1.908,1.219,0.505,17.916,8.2,0.000114814814814815,1,1,0.0526777777777778,7
15,2018-08-28,Backbone Beach,0.418,7650000,0,0,0,1.728,1.019,1.142,17.507,8.8,0,1,1,0.02425,8
13,2018-08-14,Backbone Beach,0.405,44600000,0,0,0,1.499,1.147,0.298,16.958,8,0,1,1,0.02425,8
12,2018-08-07,Backbone Beach,0.39,26600000,0,0,0,5.678,0.922,-0.24,7.969,7.7,0,1,1,0.02425,8
10,2018-07-24,Backbone Beach,0.3,5040000,0,0,0,2.347,0.041,0.233,20.777,8.9,0,1,1,0.0526777777777778,7
11,2018-07-31,Backbone Beach,0.237,10900000,432,0,0,1.472,0.491,0.264,9.587,8.5,3.96330275229358e-05,1,1,0.0526777777777778,7
7,2018-07-02,Backbone Beach,0.205,6090000,0,0,0,2.18,1.119,0.437,17.63,7.9,0,1,1,0.0526777777777778,7
4,2018-06-12,Backbone Beach,0.165,4440000,0,0,0,2.583,1.217,0.569,19.018,7.28,0,1,1,0.0776666666666667,6
9,2018-07-17,Backbone Beach,0.155,1.2e+07,0,0,0,1.869,1.69452079566004,0.167,11.682,7.09,0,1,1,0.0526777777777778,7
2,2018-05-29,Backbone Beach,0.153,1760000,0,0,0,7.288,1.382,0.458,20.334,7.85,0,1,1,0.0105,5
6,2018-06-26,Backbone Beach,0.13,4960000,31700,51300,0,1.55,1.246,0.348,8.366,7.7,0.00639112903225806,1,1,0.0776666666666667,6
3,2018-06-05,Backbone Beach,0.121,2190000,0,0,0,1.694,1.327,0.423,21.218,8.01,0,1,NA,0.0776666666666667,6
13,2018-08-15,Beed's Lake Beach,0.635,14100000,48600,0,0,4.01,1.065,0.438,14.101,7.7,0.0034468085106383,1,1,0.09825,8
4,2018-06-13,Beed's Lake Beach,0.538,10800000,18000,0,0,2.619,1.559,0.334,14.674,8,0.00166666666666667,1,1,0.0668333333333333,6
12,2018-08-08,Beed's Lake Beach,0.488,8190000,5170,0,0,4.2205,0.75,-0.172,9.451,8.2,0.000631257631257631,1,1,0.09825,8
15,2018-08-29,Beed's Lake Beach,0.435,0,0,0,0,5.505,1.294,0.02,9.392,7.6,0.0877618558077183,1,1,0.09825,8
1,2018-05-23,Beed's Lake Beach,0.402,3340000,0,0,0,2.769,1.243,0.495,17.091,8.5,0,1,1,0.15,5
14,2018-08-22,Beed's Lake Beach,0.377,33100000,38200,0,0,4.764,1.224,0.197,15.852,7.8,0.00115407854984894,1,1,0.09825,8
7,2018-07-03,Beed's Lake Beach,0.31,8410000,462,0,0,2.736,1.111,0.503,14.723,7.8,5.49346016646849e-05,1,1,0.0560222222222222,7
2,2018-05-30,Beed's Lake Beach,0.195,8040000,882,0,0,2.925,1.308,0.458,16.834,8.7,0.000109701492537313,1,1,0.15,5
11,2018-08-01,Beed's Lake Beach,0.153,18800000,7820,0,0,4.134,0.145,0.255,3.396,8.1,0.000415957446808511,1,1,0.09825,8
5,2018-06-20,Beed's Lake Beach,0.108,9270000,1960,0,0,3.105,1.113,0.416,13.422,7.7,0.00021143473570658,1,1,0.0668333333333333,6
3,2018-06-06,Beed's Lake Beach,0.075,5280000,0,0,0,2.712,1.867,0.143,16.445,7.7,0,1,1,0.0668333333333333,6
10,2018-07-25,Beed's Lake Beach,0.063,16600000,4760,0,0,4.873,0.155,0.091,14.906,7.78,0.000286746987951807,1,1,0.0560222222222222,7
9,2018-07-18,Beed's Lake Beach,0,20700000,18200,0,0,2.876,0.89623869801085,0.122,14.334,8.28,0.000879227053140097,1,1,0.0560222222222222,7
8,2018-07-11,Beed's Lake Beach,0,11200000,0,0,0,3.525,5.832,0.411,5.525,8.93,0,1,1,0.0560222222222222,7
6,2018-06-27,Beed's Lake Beach,0,8080000,9360,0,0,2.254,1.181,0.335,14.507,8.7,0.00115841584158416,1,NA,0.0668333333333333,6
15,2018-08-27,Big Creek Beach,0.855,1.25e+08,72700,0,0,4.424,1.076,0.129,16.74,8.5,0.0005816,1,1,0.0104444444444444,8
12,2018-08-07,Big Creek Beach,0.772,8490000,17300,0,0,3.084,0.792,-0.242,11.812,8.3,0.002037691401649,1,1,0.0104444444444444,8
1,2018-05-22,Big Creek Beach,0.73,11200000,0,0,0,4.458,1.339,0.467,24.743,8.7,0,1,1,0.021,5
14,2018-08-20,Big Creek Beach,0.69,4820000,0,0,0,4.245,1.068,0.187,16.299,8.9,0,1,1,0.0104444444444444,8
13,2018-08-14,Big Creek Beach,0.433,21100000,8460,0,0,3.7945,1.134,0.292,15.621,9.1,0.000400947867298578,1,1,0.0104444444444444,8
4,2018-06-12,Big Creek Beach,0.405,2650000,737,0,0,3.233,1.148,0.48,24.422,8.3,0.00027811320754717,1,1,0.0101666666666667,6
11,2018-07-31,Big Creek Beach,0.235,4240000,1450,0,0,3.508,0.096,0.149,9.02,8,0.000341981132075472,1,1,0.0287777777777778,7
3,2018-06-05,Big Creek Beach,0.19,4340000,576,0,0,3.462,1.372,0.396,24.925,8,0.000132718894009217,1,1,0.0101666666666667,6
5,2018-06-19,Big Creek Beach,0.185,5360000,0,0,0,2.883,1.031,0.435,18.407,8.2,0,1,1,0.0101666666666667,6
2,2018-05-29,Big Creek Beach,0.185,2480000,0,0,0,3.998,1.249,0.462,22.926,8.3,0,1,1,0.021,5
10,2018-07-24,Big Creek Beach,0.167,9260000,0,0,0,3.857,0.098,0.203,18.878,7.94,0,1,1,0.0287777777777778,7
8,2018-07-10,Big Creek Beach,0.13,5550000,952,0,0,4.002,1.21,0.474,13.901,8.6,0.000171531531531532,1,1,0.0287777777777778,7
6,2018-06-26,Big Creek Beach,0.003,4370000,495,0,0,3.184,1.156,0.347,15.546,8.4,0.000113272311212815,1,1,0.0101666666666667,6
9,2018-07-17,Big Creek Beach,0,7340000,0,0,0,6.61,1.22150994575045,0.161,10.663,8.05,0,1,1,0.0287777777777778,7
7,2018-07-02,Big Creek Beach,0,0,0,0,0,3.869,1.236,0.423,11.914,8.4,0.00173934645559473,1,NA,0.0287777777777778,7
9,2018-07-17,Black Hawk Beach,5.755,6180000,199000,0,0,4.824,1.35579566003617,0.256,16.836,9.1,0.0322006472491909,1,1,0.07768,7
12,2018-08-07,Black Hawk Beach,1.155,2400000,30700,13600,0,6.783,0.721,-0.229,14.901,8.9,0.0127916666666667,1,1,0.02025,8
6,2018-06-26,Black Hawk Beach,0.907,3890000,46400,0,0,5.166,1.177,0.316,23.328,8.35,0.0119280205655527,1,1,0.004,6
10,2018-07-24,Black Hawk Beach,0.905,14200000,108000,0,0,8.54,-0.055,0.184,17.283,8.9,0.0076056338028169,1,1,0.07768,7
8,2018-07-10,Black Hawk Beach,0.853,4230000,45500,0,0,8.615,1.284,0.474,20.702,8.7,0.0107565011820331,1,1,0.07768,7
15,2018-08-27,Black Hawk Beach,0.81,8930000,7800,0,0,6.394,1.095,-0.033,18.7,8.2,0.000873460246360582,1,1,0.02025,8
4,2018-06-12,Black Hawk Beach,0.75,10100000,43900,0,0,6.073,1.214,0.458,24.868,8.6,0.00434653465346535,1,1,0.004,6
14,2018-08-20,Black Hawk Beach,0.69,1.88e+08,58900,0,0,7.837,1.022,0.193,19.905,8.3,0.000313297872340426,1,1,0.02025,8
13,2018-08-14,Black Hawk Beach,0.575,23500000,10700,0,0,7.068,1.141,0.291,19.634,8.3,0.00045531914893617,1,1,0.02025,8
1,2018-05-22,Black Hawk Beach,0.465,1040000,2000,0,0,6.172,1.266,0.565,25.221,8,0.00192307692307692,1,1,0.0416869565217391,5
7,2018-07-02,Black Hawk Beach,0.41,3590000,20100,0,0,5.97,1.082,0.622,19.697,8.8,0.00559888579387187,1,1,0.07768,7
5,2018-06-19,Black Hawk Beach,0.35,3170000,27000,0,0,5.706,0.973,0.383,24.487,8.13,0.00851735015772871,1,1,0.004,6
2,2018-05-29,Black Hawk Beach,0.345,798000,13400,0,0,7.431,1.275,0.467,22.621,8.5,0.0167919799498747,1,1,0.0416869565217391,5
3,2018-06-05,Black Hawk Beach,0.299,1790000,5660,0,0,6.787,1.362,0.344,23.687,8.6,0.00316201117318436,1,1,0.004,6
11,2018-07-31,Black Hawk Beach,0.135,8410000,27800,0,0,7.514,0.165,0.226,10.224,8.79,0.00330558858501784,1,NA,0.07768,7
14,2018-08-20,Brushy Creek Beach,1.628,4440000,33500,0,0,5.597,1.049,0.172,14.482,8.2,0.00754504504504505,1,1,0.0314444444444444,8
12,2018-08-07,Brushy Creek Beach,1.15,21300000,5510,0,0,4.35,0.751,-0.228,10.098,8.8,0.00025868544600939,1,1,0.0314444444444444,8
15,2018-08-27,Brushy Creek Beach,0.842,9020000,20900,0,0,4.414,1.137,-0.146,9.029,7.7,0.00231707317073171,1,1,0.0314444444444444,8
13,2018-08-14,Brushy Creek Beach,0.748,14100000,11800,0,0,4.671,1.136,0.388,13.32,8.4,0.000836879432624114,1,1,0.0314444444444444,8
1,2018-05-22,Brushy Creek Beach,0.472,369000,0,0,0,4.087,1.33,0.491,23.732,8.1,0,1,1,0.0035,5
4,2018-06-12,Brushy Creek Beach,0.27,959,0,0,0,3.708,1.089,0.484,21.219,7.9,0,1,1,0.0101666666666667,6
10,2018-07-24,Brushy Creek Beach,0.233,3740000,0,0,0,4.971,-0.053,0.227,22.338,8.4,0,1,1,0.0172222222222222,7
7,2018-07-02,Brushy Creek Beach,0.2,1150000,0,0,0,4.503,1.195,0.387,9.858,8.2,0,1,1,0.0172222222222222,7
3,2018-06-05,Brushy Creek Beach,0.195,909000,2490,0,0,4.18,1.332,0.331,21.249,8,0.00273927392739274,1,1,0.0101666666666667,6
6,2018-06-26,Brushy Creek Beach,0.183,4220000,1570,0,0,3.548,1.336,0.392,2.792,7.27,0.000372037914691943,1,1,0.0101666666666667,6
2,2018-05-29,Brushy Creek Beach,0.178,1170000,0,0,0,4.188,1.276,0.475,22.106,8,0,1,1,0.0035,5
5,2018-06-19,Brushy Creek Beach,0.032,6880000,7890,0,0,3.366,1,0.502,16.988,7.66,0.0011468023255814,1,1,0.0101666666666667,6
11,2018-07-31,Brushy Creek Beach,0,5600000,5350,0,0,4.736,0.162,0.286,4.407,9.4,0.000955357142857143,1,1,0.0172222222222222,7
9,2018-07-17,Brushy Creek Beach,0,8370000,5800,0,0,3.918,1.16575949367089,0.213,12.015,8.9,0.000692951015531661,1,1,0.0172222222222222,7
8,2018-07-10,Brushy Creek Beach,0,3260000,533,0,0,4.56,1.194,0.563,14.12,8.6,0.000163496932515337,1,NA,0.0172222222222222,7
15,2018-08-29,Clear Lake Beach,6.635,929000,10800,0,0,9.814,1,0.121,14.76,8.45,0.0116254036598493,1,1,0.0285,8
13,2018-08-15,Clear Lake Beach,6.32,2250000,36500,0,0,6.501,1.049,0.32,15.361,8.4,0.0162222222222222,1,1,0.0285,8
14,2018-08-22,Clear Lake Beach,6.108,1400000,10900,0,0,8.03,1.036,0.166,16.223,8.6,0.00778571428571429,1,1,0.0285,8
12,2018-08-08,Clear Lake Beach,3.182,1.6e+07,51000,0,0,7.012,0.724,0.332,11.745,8.4,0.0031875,1,1,0.0285,8
8,2018-07-11,Clear Lake Beach,2.862,2240000,24700,0,0,39.12,1.218,0.495,4.656,8.32272727272727,0.0110267857142857,1,1,-0.00307777777777778,7
4,2018-06-13,Clear Lake Beach,1.768,2190000,33400,0,0,6.011,1.569,0.448,14.9,8.3,0.0152511415525114,1,1,0.00516666666666667,6
10,2018-07-25,Clear Lake Beach,1.62,3910000,43300,12300,0,7.849,-0.12,0.126,11.637,8.01,0.011074168797954,1,1,-0.00307777777777778,7
11,2018-08-01,Clear Lake Beach,1.517,3900000,33900,26000,0,6.569,0.209,0.198,4.22,8.3,0.00869230769230769,1,1,0.0285,8
6,2018-06-27,Clear Lake Beach,1.442,1930000,4100,0,0,2.523,1.189,0.267,14.843,9.1,0.00212435233160622,1,1,0.00516666666666667,6
7,2018-07-03,Clear Lake Beach,1.403,3740000,28400,0,0,7.009,1.03,0.614,13.5,8.3,0.00759358288770053,1,1,-0.00307777777777778,7
3,2018-06-06,Clear Lake Beach,1.248,2610000,37100,0,0,6.805,1.752,0.219,15.022,8,0.0142145593869732,1,1,0.00516666666666667,6
1,2018-05-23,Clear Lake Beach,1.163,614000,4650,0,0,6.488,1.217,0.468,14.666,8.7,0.00757328990228013,1,1,0.0025,5
2,2018-05-30,Clear Lake Beach,1.095,1510000,27300,0,0,6.749,1.274,0.471,14.13,8.1,0.0180794701986755,1,1,0.0025,5
9,2018-07-18,Clear Lake Beach,0.952,5520000,48600,0,0,6.046,1.14009945750452,0.153,16.323,8.14,0.00880434782608696,1,1,-0.00307777777777778,7
5,2018-06-20,Clear Lake Beach,0.835,5020000,40800,0,0,5.379,1.003,0.529,14.156,8.1,0.00812749003984064,1,NA,0.00516666666666667,6
15,2018-08-27,Crandall's Beach,8.505,9070000,32200,0,0,6.709,1.069,0.12,17.335,8.6,0.00355016538037486,3,1,0.017125,8
12,2018-08-08,Crandall's Beach,7.19,6350000,128000,0,0,6.279,0.765,0.229,12.93,9.03,0.0201574803149606,1,1,0.017125,8
14,2018-08-20,Crandall's Beach,2.615,7360000,228000,0,0,6.832,1.045,0.164,18.62,8.5,0.0309782608695652,1,1,0.017125,8
13,2018-08-15,Crandall's Beach,2.088,6410000,175000,0,0,5.244,1.101,0.279,16.764,8.5,0.0273010920436817,1,1,0.017125,8
11,2018-08-01,Crandall's Beach,1.918,6220000,59400,0,0,4.171,0.112,0.195,5.819,8.3,0.00954983922829582,1,1,0.017125,8
10,2018-07-25,Crandall's Beach,1.885,3060000,31900,0,0,6.988,0.208,0.169,18.225,8.4,0.0104248366013072,1,1,0.0634444444444444,7
7,2018-07-03,Crandall's Beach,1.692,1960000,22300,0,0,6.506,1.099,0.498,15.749,8.4,0.0113775510204082,1,1,0.0634444444444444,7
8,2018-07-11,Crandall's Beach,1.11,2180000,19200,0,0,7.125,1.232,0.476,5.348,8.5,0.00880733944954129,1,1,0.0634444444444444,7
6,2018-06-27,Crandall's Beach,0.803,2790000,22500,0,0,4.328,1.188,0.283,18.263,8.55,0.00806451612903226,1,1,0.00416666666666667,6
9,2018-07-18,Crandall's Beach,0.785,4140000,43700,0,0,5.192,0.909755877034358,0.152,17.127,8.6,0.0105555555555556,1,1,0.0634444444444444,7
5,2018-06-20,Crandall's Beach,0.582,2510000,33400,0,0,5.125,1.043,0.334,18.388,7.96,0.0133067729083665,1,1,0.00416666666666667,6
1,2018-05-23,Crandall's Beach,0.558,782000,2230,0,0,5.511,1.238,0.502,18.797,8,0.00285166240409207,1,1,0.001,5
3,2018-06-06,Crandall's Beach,0.168,4140000,10400,0,0,5.808,1.807,0.23,18.615,8.2,0.00251207729468599,1,1,0.00416666666666667,6
4,2018-06-13,Crandall's Beach,0.153,130000,551,0,0,4.894,1.618,0.334,19.197,8.3,0.00423846153846154,1,1,0.00416666666666667,6
2,2018-05-30,Crandall's Beach,0.15,617000,5440,0,0,6.536,1.523,0.663,18.12,8,0.00881685575364668,1,NA,0.001,5
2,2018-05-29,Denison Beach,10.423,2490000,128000,0,0,7.16,1.316,0.508,23.793,8.3,0.0514056224899598,3,1,0.0065,5
9,2018-07-17,Denison Beach,3.922,5200000,120000,0,0,3.408,1.2572061482821,0.194,12.982,9,0.0230769230769231,1,1,0.0448666666666667,7
10,2018-07-24,Denison Beach,3.902,7270000,78100,0,0,7.455,0.226,0.198,21.473,8.9,0.0107427785419532,1,1,0.0448666666666667,7
4,2018-06-12,Denison Beach,2.775,6130000,242000,0,0,6.036,1.142,0.533,25.697,8.6,0.0394779771615008,1,1,0.00366666666666667,6
3,2018-06-05,Denison Beach,2.342,3660000,67400,0,0,6.624,1.357,0.416,26.558,8.8,0.0184153005464481,1,1,0.00366666666666667,6
5,2018-06-19,Denison Beach,1.055,5120000,48400,0,0,5.62,1.042,0.461,25.232,7.99,0.009453125,1,1,0.00366666666666667,6
8,2018-07-10,Denison Beach,1.038,3040000,37400,0,0,6.794,1.218,0.508,17.713,8.8,0.0123026315789474,1,1,0.0448666666666667,7
12,2018-08-07,Denison Beach,1.015,31400000,34800,0,0,8.397,0.75,-0.16,14.778,8.9,0.00110828025477707,1,1,0.0111428571428571,8
11,2018-07-31,Denison Beach,0.955,8420000,15700,0,0,7.135,0.148,0.214,10.622,8.97,0.0018646080760095,1,1,0.0448666666666667,7
1,2018-05-22,Denison Beach,0.872,1060000,50500,0,0,8.049,1.593,0.504,24.853,8.1,0.0476415094339623,1,1,0.0065,5
6,2018-06-26,Denison Beach,0.685,2240000,8990,0,0,6.617,1.182,0.363,21.088,8.3,0.00401339285714286,1,1,0.00366666666666667,6
15,2018-08-27,Denison Beach,0.468,22700000,10600,0,0,6.502,1.155,-0.146,17.634,8.2,0.000466960352422907,1,1,0.0111428571428571,8
14,2018-08-20,Denison Beach,0.433,1.19e+08,64800,0,0,7.755,1.166,0.171,19.612,8.4,0.00054453781512605,1,1,0.0111428571428571,8
13,2018-08-14,Denison Beach,0.38,12800000,27400,0,0,7.162,1.148,0.307,19.522,8.6,0.002140625,1,1,0.0111428571428571,8
7,2018-07-02,Denison Beach,0.24,2240000,12800,0,0,6.667,1.025,0.577,14.783,8.6,0.00571428571428571,1,NA,0.0448666666666667,7
12,2018-08-08,Emerson Bay Beach,0.75,0,0,0,0,38.06,0.782,-0.126,17.42,8.07,0.0150619195335045,1,1,0.017,8
14,2018-08-20,Emerson Bay Beach,0.625,9570000,37000,0,0,34.45,1.091,0.154,24.509,8.3,0.0038662486938349,1,1,0.017,8
10,2018-07-25,Emerson Bay Beach,0.585,7380000,12600,0,0,6.237,-0.057,0.201,24.791,8.1,0.00170731707317073,1,1,0.0444444444444444,7
3,2018-06-06,Emerson Bay Beach,0.584,4140000,0,0,0,5.839,1.751,0.175,24.93,8.5,0,1,1,0.00583333333333333,6
15,2018-08-27,Emerson Bay Beach,0.458,13200000,27600,0,0,5.389,1.008,0.115,22.614,8.2,0.00209090909090909,1,1,0.017,8
11,2018-08-01,Emerson Bay Beach,0.412,8800000,15300,0,0,5.491,0.113,0.234,10.982,8.5,0.00173863636363636,1,1,0.017,8
6,2018-06-27,Emerson Bay Beach,0.407,6170000,4030,0,0,4.612,1.203,0.274,22.899,7.94,0.000653160453808752,1,1,0.00583333333333333,6
13,2018-08-15,Emerson Bay Beach,0.338,24100000,37500,0,0,5.264,1.021,0.312,23.611,8.1,0.00155601659751037,1,1,0.017,8
8,2018-07-11,Emerson Bay Beach,0.248,8160000,6290,0,0,6.476,1.302,0.4,16.31,8.4,0.000770833333333333,1,1,0.0444444444444444,7
4,2018-06-13,Emerson Bay Beach,0.242,4140000,1310,0,0,5.244,1.463,0.313,25.219,8.3,0.000316425120772947,1,1,0.00583333333333333,6
5,2018-06-20,Emerson Bay Beach,0.23,7040000,11500,0,0,5.266,0.943,0.522,24.814,7.95,0.00163352272727273,1,1,0.00583333333333333,6
2,2018-05-30,Emerson Bay Beach,0.225,368000,0,0,0,5.807,1.261,0.337,24.63,8.2,0,1,1,0.0075,5
7,2018-07-03,Emerson Bay Beach,0.153,8500000,5570,0,0,29.78,1.147,0.465,22.678,8.3,0.000655294117647059,1,1,0.0444444444444444,7
1,2018-05-23,Emerson Bay Beach,0.133,1100000,665,0,0,4.783,1.213,0.596,14.204,8.2,0.000604545454545455,1,1,0.0075,5
9,2018-07-18,Emerson Bay Beach,0.013,14500000,37500,0,0,5.094,1.02597649186257,0.184,24.205,8.3,0.00258620689655172,1,NA,0.0444444444444444,7
13,2018-08-14,George Wyth Beach,1.097,8700000,32300,154000,0,5.509,1.1,0.316,54.052,9,0.00371264367816092,1,1,0.008625,8
12,2018-08-07,George Wyth Beach,0.908,7140000,31900,85400,0,4.66,0.737,-0.225,41.943,8.7,0.00446778711484594,1,1,0.008625,8
6,2018-06-26,George Wyth Beach,0.835,6200000,27800,0,0,4.22,1.549,0.367,52.771,7.9,0.00448387096774194,1,1,0.0104,6
8,2018-07-10,George Wyth Beach,0.72,1370000,5290,17500,0,5.474,1.256,0.548,52.195,8.6,0.00386131386861314,1,1,0.0201,7
14,2018-08-21,George Wyth Beach,0.65,3550000,17500,30000,0,7.456,1.117,0.162,53.878,8.8,0.00492957746478873,1,1,0.008625,8
10,2018-07-24,George Wyth Beach,0.55,7360000,30600,36500,0,5.024,-0.011,0.242,31.158,9.3,0.00415760869565217,1,1,0.0201,7
2,2018-05-29,George Wyth Beach,0.533,1310000,2660,0,0,5.934,1.276,0.436,55.239,8.58,0.00203053435114504,1,1,0.001,5
15,2018-08-28,George Wyth Beach,0.515,21700000,38400,63400,0,5.558,1.243,-0.139,53.295,9.1,0.00176958525345622,1,1,0.008625,8
11,2018-07-31,George Wyth Beach,0.465,4080000,6710,19200,0,5.309,0.561,0.236,43.18,8.7,0.00164460784313725,1,1,0.0201,7
3,2018-06-05,George Wyth Beach,0.446,2190000,8600,0,0,5.701,1.34,0.411,56.735,8.23,0.00392694063926941,1,1,0.0104,6
7,2018-07-02,George Wyth Beach,0.338,2090000,9060,14300,0,4.796,1.175,0.419,52.522,8.4,0.00433492822966507,1,1,0.0201,7
1,2018-05-22,George Wyth Beach,0.313,606000,8360,0,0,6.354,1.353,0.587,55.853,8.3,0.0137953795379538,1,1,0.001,5
5,2018-06-19,George Wyth Beach,0.188,1620000,5470,0,0,4.221,1.278,0.45,53.962,9,0.00337654320987654,1,1,0.0104,6
9,2018-07-17,George Wyth Beach,0.08,2890000,13900,14300,0,4.439,1.8451356238698,0.216,43.909,9.7,0.00480968858131488,1,NA,0.0201,7
1,2018-05-22,Green Valley Beach,65.57,1200000,21500,0,0,7.545,1.399,0.613,9.334,8.4,0.0179166666666667,3,3,0.001,5
7,2018-07-02,Green Valley Beach,30.37,3650000,324000,0,0,8.982,1.139,0.52,7.387,8.5,0.0887671232876712,3,3,0.371888888888889,7
5,2018-06-19,Green Valley Beach,11.41,3880000,189000,0,0,8.241,1.003,0.605,9.303,8.3,0.0487113402061856,3,1,0.0188333333333333,6
12,2018-08-07,Green Valley Beach,7.243,3670000,75900,0,0,6.983,0.74,-0.244,6.986,8.4,0.0206811989100817,1,1,0.1925,8
15,2018-08-27,Green Valley Beach,7.142,19200000,258000,0,0,7.02,1.039,0.171,9.458,8.22,0.0134375,1,1,0.1925,8
14,2018-08-20,Green Valley Beach,6.922,8090000,331000,0,0,9.226,1.118,0.139,10.587,8.3,0.0409147095179234,1,1,0.1925,8
6,2018-06-26,Green Valley Beach,4.98,3020000,113000,0,0,7.06,1.21,0.489,9.246,8.4,0.0374172185430464,1,1,0.0188333333333333,6
13,2018-08-14,Green Valley Beach,4.688,7430000,183000,0,0,6.388,1.115,0.253,9.649,9.1,0.0246298788694482,1,1,0.1925,8
2,2018-05-29,Green Valley Beach,4.12,1010000,21300,0,0,9.509,1.282,0.439,8.692,8.7,0.0210891089108911,1,1,0.001,5
10,2018-07-24,Green Valley Beach,2.908,12800000,175000,0,0,9.065,0.009,0.219,23.547,8.37,0.013671875,1,1,0.371888888888889,7
9,2018-07-17,Green Valley Beach,2.477,4860000,129000,0,0,8.547,1.24721518987342,0.166,8.53,8.7,0.0265432098765432,1,1,0.371888888888889,7
8,2018-07-10,Green Valley Beach,2.14,3070000,125000,0,0,8.586,1.245,0.475,10.232,8.4,0.0407166123778502,1,1,0.371888888888889,7
3,2018-06-05,Green Valley Beach,1.473,1280000,19200,0,0,8.261,1.352,0.38,8.979,8.2,0.015,1,1,0.0188333333333333,6
4,2018-06-12,Green Valley Beach,1.327,836000,4140,0,0,9.128,1.2,0.921,9.289,7.5,0.00495215311004785,1,1,0.0188333333333333,6
11,2018-07-31,Green Valley Beach,0.735,4610000,51800,0,0,26.64,0.118,0.243,1.816,8.4,0.011236442516269,1,NA,0.371888888888889,7
12,2018-08-08,Gull Point Beach,0.637,14500000,90200,0,0,5.727,0.741,-0.151,16.616,8.07,0.00622068965517241,1,1,0.0115,8
11,2018-08-01,Gull Point Beach,0.565,12900000,75200,0,0,6.17,0.19,0.155,10.399,8.5,0.00582945736434109,1,1,0.0115,8
13,2018-08-15,Gull Point Beach,0.538,22500000,72600,0,0,5.883,1.063,0.289,23.632,8.1,0.00322666666666667,1,1,0.0115,8
9,2018-07-18,Gull Point Beach,0.52,8430000,81100,0,0,5.052,1.04305605786618,0.231,22.699,8.5,0.00962040332147094,1,1,0.016,7
10,2018-07-25,Gull Point Beach,0.51,8670000,53800,0,0,6.182,0.242,0.264,23.665,8.2,0.00620530565167243,1,1,0.016,7
15,2018-08-27,Gull Point Beach,0.392,10600000,51200,0,0,5.326,1.067,0.042,23.446,8.3,0.00483018867924528,1,1,0.0115,8
14,2018-08-20,Gull Point Beach,0.335,12800000,52000,0,0,6.068,1.062,0.147,24.504,8.3,0.0040625,1,1,0.0115,8
4,2018-06-13,Gull Point Beach,0.322,5290000,2190,0,0,4.15,1.387,0.34,24.535,8.2,0.000413988657844991,1,1,0.0121666666666667,6
6,2018-06-27,Gull Point Beach,0.298,5940000,12800,0,0,4.358,1.101,0.288,24.081,8.24,0.00215488215488215,1,1,0.0121666666666667,6
2,2018-05-30,Gull Point Beach,0.262,565000,0,0,0,5.491,1.276,0.341,23.716,8.1,0,1,1,0.1365,5
3,2018-06-06,Gull Point Beach,0.183,4670000,5470,0,0,5.654,1.785,0.181,24.689,8.3,0.00117130620985011,1,1,0.0121666666666667,6
8,2018-07-11,Gull Point Beach,0.165,7e+06,19600,0,0,7.213,1.317,0.502,11.124,7.8,0.0028,1,1,0.016,7
1,2018-05-23,Gull Point Beach,0.157,576000,0,0,0,1.28,1.202,0.535,24.748,8.2,0,1,1,0.1365,5
5,2018-06-20,Gull Point Beach,0.108,4280000,0,0,0,5.472,1.048,0.494,23.722,7.78,0,1,1,0.0121666666666667,6
7,2018-07-03,Gull Point Beach,0.007,6430000,11800,0,0,5.656,1.104,0.325,23.419,8.4,0.00183514774494557,1,NA,0.016,7
1,2018-05-23,Honey Creek Resort Beach,0.6,1580000,1800,0,0,4.954,1.25,0.49,9.778,8.3,0.00113924050632911,1,1,0.0185,5
6,2018-06-27,Honey Creek Resort Beach,0.587,9920000,10900,0,0,4.696,1.133,0.285,10.039,8.3,0.00109879032258065,1,1,0.0171666666666667,6
9,2018-07-18,Honey Creek Resort Beach,0.538,13700000,81100,0,0,5.153,1.07277576853526,0.159,10.386,8.5,0.00591970802919708,1,1,0.0247777777777778,7
2,2018-05-30,Honey Creek Resort Beach,0.49,894000,397,0,0,5.862,1.278,0.361,10.357,8.3,0.00044407158836689,1,1,0.0185,5
15,2018-08-29,Honey Creek Resort Beach,0.488,10700000,31900,0,0,24.92,1.016,0.049,11.127,8.4,0.00298130841121495,1,1,0.016125,8
13,2018-08-15,Honey Creek Resort Beach,0.433,8550000,10700,0,0,24.65,1.12,0.277,10.756,8.72,0.00125146198830409,1,1,0.016125,8
14,2018-08-22,Honey Creek Resort Beach,0.425,8900000,25200,0,0,6.267,1.201,0.118,11.874,8.11,0.0028314606741573,1,1,0.016125,8
